"","Primary Outcome Measures","count","percentage"
"11","Patients Image Quality, Image quality comparisons between ultrasound scans performed by heart failure patients using the study app to traditional ultrasound scans performed by trained clinicians, Study Completion (91 days)|Novice Image Quality, Image quality comparisons between ultrasound scans performed by novice clinicians using the study app to traditional ultrasound scans performed by trained clinicians, Study Completion (91 days)|B-Line count CardioMEMS comparison, Relationship comparisons between ultrasound data from exams performed by heart failure patients using the study app (both in clinic and at home) and ultrasound exams performed by novice clinicians to pulmonary pressure data from the Abbott CardioMEMS system, Study Completion (91 days)",1,2.08333333333333
"12","Change in the proportion of patients with haemoglobin within the target range as compared to the historical control period (non-inferiority testing), The proportion of patients with at least 5 (standard of care, approximately monthly) Hb measurements and with 80% of these measurements within the target range of 10 to 12 g/dl from Month -6 to Month -1 will be compared with the proportion of patients with at least 5 measurements and with 80% of these measurements within target range of 10 to 12 g/dl from Month 1 to Month 6 (non-inferiority testing)., Month -6 to Month -1 compared with Month +1 to Month +6",1,2.08333333333333
"13","COVID 19 Detection, Determine the safety and feasibility of the POC AI-ECG's ability to detect active SARS-Cov-2 infection in humans., One time screening within 4 hours of PCR test",1,2.08333333333333
"14","The accuracy of AI-assisted cEEG diagnostic tool in evaluating the neonatal seizure, The accuracy of includes sensitivity and specificity. The reference standard is the electrographic seizures interpreted by 3 clinicians who had attended the uniformly training program and were certified by the Chinese Anti-Epilepsy Association.

Sensitivity is defined as: The proportion of neonates with seizures is successfully screened out by AI-assisted cEEG diagnostic tool.

Specificity is defined as: The proportion of neonates without seizures who are not recognized as seizures by AI-assisted cEEG diagnostic tool., within 7 days since the end of cEEG monitoring during hospitalization",1,2.08333333333333
"15","Difference in Consonant-Nucleus-Consonant (CNC) Words Scores, Testing open-set word understanding. Recorded CNC Words lists will be presented to the participant. Resultant score is a percentage of words correct with a range of 0% to 100%. A higher score is better. Scores obtained with the SONNETEAS will be compared to those obtained with the SONNET2EAS, programmed with Automatic Sound Management 3.0., Up to 2 months after enrollment|Difference in Hearing-in-Noise-Test (HINT) Sentences in Diffuse Noise, Testing open-set sentence understanding with background noise present. Recorded Hearing-in-Noise-Test (HINT) sentences in diffuse noise will be presented to participant. Resultant score is a percentage of words correct with a range of 0% to 100%. A higher score is better. Scores obtained with the SONNETEAS will be compared to those obtained with the SONNET2EAS, programmed with Automatic Sound Management 3.0., Up to 2 months after enrollment|Difference in reported device satisfaction on the Audio Processor Satisfaction Questionnaire (APSQ), Participants report subjective device satisfaction by marking on a visual analog scale from 0 to 10, with 0 being the minimum benefit and 10 being maximal benefit. A higher score is greater subjective satisfaction reported by the participant. Scores obtained with the SONNETEAS will be compared to those obtained with the SONNET2EAS, programmed with Automatic Sound Management 3.0., Up to 2 months after enrollment|Difference in reported subjective benefit on the Speech Domain of the Speech, Spatial and Qualities of Hearing (SSQ), Participants report subjective device benefit when hearing speech in a variety of competing contexts by marking on a visual analog scale from 0 to 10, with 0 being the minimum benefit and 10 being maximal benefit. A higher score is greater subjective benefit reported by the participant. Scores obtained with the SONNETEAS will be compared to those obtained with the SONNET2EAS, programmed with Automatic Sound Management 3.0., Up to 2 months after enrollment|Difference in reported subjective benefit on the Spatial Domain of the Speech, Spatial and Qualities of Hearing (SSQ), Participants reported subjective device benefit for the directional, distance, and movement components of spatial hearing by marking on a visual analog scale from 0 to 10, with 0 being the minimum benefit and 10 being maximal benefit. A higher score is greater subjective benefit reported by the participant. Scores obtained with the SONNETEAS will be compared to those obtained with the SONNET2EAS, programmed with Automatic Sound Management 3.0., 2 Years|Difference in reported subjective benefit on the Qualities Domain of the Speech, Spatial and Qualities of Hearing (SSQ), Participants reported subjective device benefit in qualities of hearing (including ease of listening and the naturalness, clarity, and identifiability of different sounds) by marking on a visual analog scale from 0 to 10, with 0 being the minimum benefit and 10 being maximal benefit. A higher score is greater subjective benefit reported by the participant. Scores obtained with the SONNETEAS will be compared to those obtained with the SONNET2EAS, programmed with Automatic Sound Management 3.0., Up to 2 months after enrollment",1,2.08333333333333
"16","Feasibility of Laguna Health based on enrollment and intervention use rates, Laguna Health will be deemed feasible if at least 60% of eligible patients are enrolled in the study, and of those patients enrolled and randomized to the intervention arm, 60% engage with the Laguna Health platform during at least 7 weeks of the 12-week post discharge intervention period., Baseline to week-2",1,2.08333333333333
"17","Urinary Albumin to Creatinine Ratio (UACR), Urine Albumin (mg/dL) / Urine Creatinine (g/dL) = UACR in mg/g ≈ Albumin excretion in mg/day, 1 year after start of treatment",1,2.08333333333333
"18","Prospective collection of PillCamTM SB3 capsule endoscopy and DAE procedures data, Collection of GI pathologies data along with descriptive demographics data for research and development purposes., Up to 3 years from study approval",1,2.08333333333333
"19","Average Number of Adenomas Per Colonoscopy, Average Number of Adenomas Per Colonoscopy for all study subjects undergoing colonoscopy procedures, separately calculated for each of the study arms., Receipt of pathology results for procedure findings (typically within 2 weeks after the procedure)|Average Number of Adenomas Per Extraction, Percent of extractions that are adenomas per Colonoscopy for all study subjects undergoing colonoscopy procedures, separately calculated for each of the study arms., Receipt of pathology results for procedure findings (typically within 2 weeks after the procedure)",1,2.08333333333333
"20","Prediction of depression score from a self-report instrument, Error when predicting depression severity (none, mild, moderate, severe) based on QIDS-SR-16., Single assessment",1,2.08333333333333
"21","Sensitivity and specificity of ThermalytixTM in detecting breast cancer, Determine sensitivity and specificity of ThermalytixTM in detecting breast cancer in patients scheduled to undergo breast biopsy (Cohort 1). The sensitivity and specificity will be estimated using 95% exact binomial confidence intervals. The required sample size was determined based on the target sensitivity and specificity, and the resulting confidence intervals., Through study completion, an average of 30 days",1,2.08333333333333
"22","Overall Energy Levels, This is inversely describing fatigue, chronic fatigue and exhaustion which is a common symptom of Lyme Disease., 18 months|Myalgia, This will be described to participants in an easy-to-understand 'layman' terminology. Words here include e.g. muscle ache, soreness of muscles., 18 months|Joint stiffness, Stiffness, soreness and lack of range of motion in any and all joints, 18 months|Depression, This is measuring the participant's own subjective feelings of mood and depression, not a clinical diagnosis., 18 months|Fever/Chills, mild, recurrent fever is a common symptom of Lyme Disease. Temperature will be measured by the participants themselves should they suffer from this., 18 months",1,2.08333333333333
"23","Number of device associated and procedure associated adverse events., up to 20 years",1,2.08333333333333
"24","Change in parent reported socialization subscale scores of the Vineland Adaptive Behavior Scales,2nd Edition (VABS-2) from baseline to week 12 Vineland Adaptive Behavior Scales, 2d edition (VABS-2) Socialization subscale of the Parent/Caregiver, The socialization subscale is up to 113 items, where raw scores are converted to Intelligence Quotient (IQ) type standard scores--v-scale scores (M=15, SD=3) where scores range from 1 to 24, and factor in age equivalents, growth scale values, and higher scores indicate better adaptive functioning., Baseline (Week 0), Week 12|Mobile Application Usage-Total games started., App usage data by participants (children) comprised of total number of MojiMatch plus Charades Games started., Week 12",1,2.08333333333333
"25","Diagnostic model accuracy, ROC (receiver operating characteristic) curves AUC (Area under the Curve), 3 years|Prognostic model accuracy, C-statistics, 3 years",1,2.08333333333333
"26","Change in inflammatory age (iAge®) scores from Baseline to end of study intervention, Measurement of iAge® scores in all study participants. Peripheral blood samples will be collected, processed and analyzed and iAge is measured using standardized procedures, immune phenotyping and artificial intelligence algorithms., Measured at Baseline, Day 50, Day 120 and Day 210",1,2.08333333333333
"27","AAA maximum diameter, Measured in millimeter (mm), First week|AAA volume, Measured in cubic millimeter (mm3), First week",1,2.08333333333333
"28","Prevalence of adverse cardiac events within 30 days after initial presentation, 30 days",1,2.08333333333333
"29","Impact of EMAS on echocardiogram order rates, Echocardiogram order rates before and after SENSORA implementation, for individual providers and aggregated for the site as a whole, 01/17/2022 - 11/30/2023|Impact of EMAS on cardiologist consult order rates, Cardiology consultation referral rates before and after SENSORA implementation, for individual providers and aggregated for the site as a whole, 01/17/2022 - 11/30/2023|Impact of EMAS on provider decision-making, Impact of EMAS on provider decision to refer to echocardiogram, cardiologist, or other workup related to cardiac murmur. Measured via a survey administered to each provider after each patient is screened, which asks if SENSORA AI influenced their decision to refer or not to refer. Measured for individual providers and aggregated for the site as a whole., 01/17/2022 - 11/30/2023",1,2.08333333333333
"30","Number of abnormalities identified divided by number of total of images analyzed (accuracy), Accuracy is defined as the ratio of the images where the physician's prediction matched the labels of the dataset.

Accuracy= (TP+FP) / (TP+FP+TN+FN)

TP (true positives) = cases interpreted as abnormal that are abnormal; FP (false positives) = cases wrongly interpreted to be abnormal; TN (true negatives) = cases correctly interpreted to be normal; FN (false negatives) = abnormal cases wrongly interpreted as normal., Time needed to analyze 500 images. Participants will be asked to completed the exercise within 2 weeks.|Number of true abnormalities identified divided by the total of abnormalities identified (precision), Precision is defined as the probability of a radiograph being abnormal if a physician makes the determination that it is abnormal.

Precision= TP / (TP+FP)

TP (true positives) = cases interpreted as abnormal that are abnormal; FP (false positives) = cases wrongly interpreted to be abnormal; TN (true negatives) = cases correctly interpreted to be normal; FN (false negatives) = abnormal cases wrongly interpreted as normal., Time needed to analyze 500 images. Participants will be asked to completed the exercise within 2 weeks.|Number of true abnormalities identified divided by the sum of true abnormalities identified and abnormalities missed (recall), Recall is defined as the probability of a physician catching an abnormality in an image if one exists (based on the labels of the dataset).

Recall= TP / (TP+FN)

TP (true positives) = cases interpreted as abnormal that are abnormal; FP (false positives) = cases wrongly interpreted to be abnormal; TN (true negatives) = cases correctly interpreted to be normal; FN (false negatives) = abnormal cases wrongly interpreted as normal., Time needed to analyze 500 images. Participants will be asked to completed the exercise within 2 weeks.",1,2.08333333333333
"31","Immunocompetence, Infection during observation period, 30 days after admission to ER",1,2.08333333333333
"32","Primary endpoint, In both arms the diagnosis of HF will be determined by the occurrence of one or more of the following (defined in Appendix 4):

* An outpatient diagnosis of heart failure according to the ESC 2021 Heart Failure Guidelines.
* Outpatient heart failure visit.
* Urgent heart failure visit.
* Heart failure hospitalisation., 6 months",1,2.08333333333333
"33","Estimated adherence1, The ETAC (Empowered-To-Act Consistently) scale is used to measure the estimated adherence. The categories are to guide learners' reflection on their future actions, not measuring change. Four ETAC questions are designed for the four cognition management tasks to be included in a post-session evaluation of a Cognition ECHO session. Using the ETAC scale, the reasons and concerns of the option selected can be explored qualitatively. The ETAC scale has six levels:

A) I will not do it; because: _. B) I will think about it, because: _. C) I will think about ways to help me start doing it, specific areas: _ . D) I'll start doing it from now on, areas to start: _. E) I've done some but can still do more, areas to do more: _. F) I am doing it as much as I can. No new actions are needed; sharing your successful experience: _.

The percentages of those picked options C, D, and E will be used in this study as estimated adherence for each session of the Cognition ECHO., The 2nd day of Week 9 to the end of Week 9 for Group 1. The 2nd day of Week 26 to the end of Week 26 for Group 2.|Estimated adherence2, The ETAC (Empowered-To-Act Consistently) scale is used to measure the estimated adherence. The categories are to guide learners' reflection on their future actions, not measuring change. Four ETAC questions are designed for the four cognition management tasks to be included in a post-session evaluation of a Cognition ECHO session. Using the ETAC scale, the reasons and concerns of the option selected can be explored qualitatively. The ETAC scale has six levels:

A) I will not do it; because: _. B) I will think about it, because: _. C) I will think about ways to help me start doing it, specific areas: _ . D) I'll start doing it from now on, areas to start: _. E) I've done some but can still do more, areas to do more: _. F) I am doing it as much as I can. No new actions are needed; sharing your successful experience: _.

The percentages of those picked options C, D, and E will be used in this study as estimated adherence for each session of the Cognition ECHO, The 2nd day of Week 13 to the end of Week 13 for Group 1; the 2nd day of Week 30 to the end of Week 30 for Group 2.|Estimated adherence3, The ETAC (Empowered-To-Act Consistently) scale is used to measure the estimated adherence. The categories are to guide learners' reflection on their future actions, not measuring change. Four ETAC questions are designed for the four cognition management tasks to be included in a post-session evaluation of a Cognition ECHO session. Using the ETAC scale, the reasons and concerns of the option selected can be explored qualitatively. The ETAC scale has six levels:

A) I will not do it; because: _. B) I will think about it, because: _. C) I will think about ways to help me start doing it, specific areas: _ . D) I'll start doing it from now on, areas to start: _. E) I've done some but can still do more, areas to do more: _. F) I am doing it as much as I can. No new actions are needed; sharing your successful experience: _.

The percentages of those picked options C, D, and E will be used in this study as estimated adherence for each session of the Cognition ECHO, The 2nd day of Week 17 to the end of Week 17 for Group 1; the 2nd day of Week 35 to the end of Week 35 for Group 2.|Estimated adherence4, The ETAC (Empowered-To-Act Consistently) scale is used to measure the estimated adherence. The categories are to guide learners' reflection on their future actions, not measuring change. Four ETAC questions are designed for the four cognition management tasks to be included in a post-session evaluation of a Cognition ECHO session. Using the ETAC scale, the reasons and concerns of the option selected can be explored qualitatively. The ETAC scale has six levels:

A) I will not do it; because: _. B) I will think about it, because: _. C) I will think about ways to help me start doing it, specific areas: _ . D) I'll start doing it from now on, areas to start: _. E) I've done some but can still do more, areas to do more: _. F) I am doing it as much as I can. No new actions are needed; sharing your successful experience: _.

The percentages of those picked options C, D, and E will be used in this study as estimated adherence for each session of the Cognition ECHO, The 2nd day of Week 19 to the end of Week 19 for Group 1; the 2nd day of Week 39 to the end of Week 39 for Group 2.|Estimated adherence5, The ETAC (Empowered-To-Act Consistently) scale is used to measure the estimated adherence. The categories are to guide learners' reflection on their future actions, not measuring change. Four ETAC questions are designed for the four cognition management tasks to be included in a post-session evaluation of a Cognition ECHO session. Using the ETAC scale, the reasons and concerns of the option selected can be explored qualitatively. The ETAC scale has six levels:

A) I will not do it; because: _. B) I will think about it, because: _. C) I will think about ways to help me start doing it, specific areas: _ . D) I'll start doing it from now on, areas to start: _. E) I've done some but can still do more, areas to do more: _. F) I am doing it as much as I can. No new actions are needed; sharing your successful experience: _.

The percentages of those picked options C, D, and E will be used in this study as estimated adherence for each session of the Cognition ECHO, The 2nd day of Week 22 to the end of Week 22 for Group 1; the 2nd day of Week 41 to the end of Week 41 for Group 2.|The """"System Usability Scale of Cognition Management Tasks"""" (SUS CMTs) - 1, The System Usability Scales of Cognitive Management Tasks (SUS CMTs) are adapted from the standardized measure, System Usability Scale. Each scale has ten items and a five-point scale ranging from """"strongly disagree"""" to """"strongly agree."""" The final score ranges from 0 to 100. A high score indicates high usability. The SUS CMTs are used to measure the perceived usability of the cognitive management tasks., Week 4 to Week 8, Baseline.|The """"System Usability Scale of Cognition Management Tasks"""" (SUS CMTs) - 2, The System Usability Scales of Cognitive Management Tasks (SUS CMTs) are adapted from the standardized measure, System Usability Scale. Each scale has ten items and a five-point scale ranging from """"strongly disagree"""" to """"strongly agree."""" The final score ranges from 0 to 100. A high score indicates high usability. The SUS CMTs are used to measure the perceived usability of the cognitive management tasks., The 2nd day of Week 22 to the end of Week 25|The """"System Usability Scale of Cognition Management Tasks"""" (SUS CMTs) - 3, The System Usability Scales of Cognitive Management Tasks (SUS CMTs) are adapted from the standardized measure, System Usability Scale. Each scale has ten items and a five-point scale ranging from """"strongly disagree"""" to """"strongly agree."""" The final score ranges from 0 to 100. A high score indicates high usability. The SUS CMTs are used to measure the perceived usability of the cognitive management tasks., The 2nd day of Week 41 to the end of Week 44|The """"Self-Efficacy of Cognition Management Tasks"""" - 1, The Self-Efficacy of Cognition Management Tasks (CMTs) is a survey adapted from a self-efficacy scale for primary care practitioners to evaluate their self-efficacy in diabetes care provision (Bouchonville et al., 2018). The Self-Efficacy of CMTs measures the capacity of PCPs to do these cognition management tasks. It is a survey with ten items using a seven-point scale ranging from """"none, no skills"""" to """"expert, teaching others."""" The final score ranges from 10 to 70 with a high score reflecting better self-efficacy. The items reflect the knowledge and skills most relevant to detecting and managing cognitive impairment by primary care practitioners. With the adjustment to address response shift bias, the retrospective pre-intervention status will be compared together., The 2nd day of Week 22 to the end of Week 25|The """"Self-Efficacy of Cognition Management Tasks"""" - 2, The Self-Efficacy of Cognition Management Tasks (CMTs) is a survey adapted from a self-efficacy scale for primary care practitioners to evaluate their self-efficacy in diabetes care provision (Bouchonville et al., 2018). The Self-Efficacy of CMTs measures the capacity of PCPs to do these cognition management tasks. It is a survey with ten items using a seven-point scale ranging from """"none, no skills"""" to """"expert, teaching others."""" The final score ranges from 10 to 70 with a high score reflecting better self-efficacy. The items reflect the knowledge and skills most relevant to detecting and managing cognitive impairment by primary care practitioners. With the adjustment to address response shift bias, the retrospective pre-intervention status will be compared together., The 2nd day of Week 41 to the end of Week 44",1,2.08333333333333
"34","Time to negative conversion of SARS-CoV-2 nasopharyngeal swab, Viral load will be measured by Real Time-Polymerase Chain Reaction (RT-PCR), From baseline to day 29",1,2.08333333333333
"35","Rate of securing internship, part-time, or full-time positions, Percentage of participants securing internship, part-time, or full-time positions, 6 months after initiation of referral|Level of satisfaction, The level of participant satisfaction will be determined from a Likert scale (""""Very satisfied"""", """"Somewhat satisfied"""", """"Neither satisfied nor dissatisfied"""", """"Somewhat dissatisfied"""", and """"Very dissatisfied"""")., 3 months after initiation of referral",1,2.08333333333333
"36","Average session time when using the mobile app, Over the 5 weeks of the study, the mobile app will collect time (seconds) the user spends within each session. We will calculate the average time the user spent on mobile app in each session., 5 weeks|Time of day the mobile app is used, Over the 5 weeks of using the mobile app, we will capture the time of data the app was used in ( morning, afternoon and evenings). We will derive proportions for the app use at these times of day, 5 weeks|Most commonly used feature within the app, For each session, the app keeps track of different in-app features that are used (mood meter, journal, insights, assessments). Over the 5 week period, we will rank the most commonly used features., 5 weeks|Change in Short term impact on mood as assessed by the Positive and Negative Emotions Scale (PANAS), The PANAS is a self-report questionnaire that consists of two 1-item scales to measure both positive and negative affect. Each item is rated on a 5-point scale of 1 (not at all) to 5 (very much)., Baseline, 5 weeks|Change in Short term impact on anxiety as assessed by the General Anxiety Disorder-7 (GAD-7) scale, The GAD-7 is a self-administered 7 item instrument that uses some of the DSM-V criteria for anxiety to identify probable cases of GAD along with measuring anxiety symptom severity. Responders are asked to rate the frequency of anxiety symptoms in the last 2 weeks on a Likert scale ranging from 0-3.Severity can be determined by examining the total score. A meaningful change is 5 or more points., Baseline, 5 weeks",1,2.08333333333333
"37","Change in socialization subscale scores of the Vineland Adaptive Behavior Scales,3rd Edition (VABS-III) from baseline to week 4., Vineland Adaptive Behavior Scales, 3rd edition (VABS-III) Socialization subscale of the Parent/Caregiver Comprehensive form will be administered online to the parents. Scores from the socialization domain of the VABS-III reflects one's functioning in social situations. The socialization subscale is 32 items, where raw scores are converted to IQ-type standard scores--v-scale scores (M=15, SD=3) where scores range from 1 to 24, and factor in age equivalents, growth scale values, and higher scores indicate better adaptive functioning., Baseline (Week 0), Week 4|Change in Parent Rated Social Responsiveness Scale 2 (SRS-2) from baseline to week 4, The Social Responsiveness Scale-2 is a 65-item measure where parents rate their child selecting responses on a Likert Scale. This measure will be used to measure and identify social impairment associated with Autism Spectrum Disorder (ASD) and to quantify its severitySocial Responsiveness Scale (SRS) raw scores measure social abilities with lower scores indicating better social skills. (Raw Score Range: 0 - 195 and T-Score Range: 37- above 90)., Baseline (Week 0), Week 4",1,2.08333333333333
"38","Improvement/reversal of characteristics of PKU, Measured as a 50% decrease in Phe from baseline study level., 24 months post hepatocyte transplant",1,2.08333333333333
"39","Turnaround time, Time from completion of radiograph to time that radiologist issues an assessment via preliminary or final report, up to 1 hour",1,2.08333333333333
"40","Change in the eleven point Numeric Pain Rating Scale (NPRS), Change in the eleven point Numeric Pain Rating Scale (NPRS): assess pain intensity at enrollment and at each visit. Patients will be asked to rate their weekly pain on a scale from 0 to 10 where 0 equals """"no pain"""" and 10 equals """"the worst pain they can imagine. NPRS will be taken for both, during physical activity and at rest., 4 consecutive weeks (from Baseline to week 4)",1,2.08333333333333
"41","Change in anxiety severity (GAD-7), Generalized anxiety disorder - 7 item (GAD-7) questionnaire. Increase in score dictates increase in severity. Scale of 0-3, weeks 0, 3, 6, follow-up 1, 2, 3, 4, 5, 6 months|Change in depression severity (PHQ-9), Patient Health Questionnaire - 9 item (PHQ-9). Increase in score dictates increase in severity. Scale of 0-3 on each question., weeks 0, 3, 6, follow-up 1, 2, 3, 4, 5, 6 months|Change in depression severity (QIDS), Quick Inventory of Depressive Symptomatology (QIDS). Increase in score dictates increase in severity. Scale of 0-3 on each question, weeks 0, 3, 6, follow-up 1, 2, 3, 4, 5, 6 months|Change in stress severity (DASS-42), Depression Anxiety Stress Scale-42 (DASS-42). Increase in score dictates increase in severity. Scale of 0-3 on each question., weeks 0, 3, 6, follow-up 1, 2, 3, 4, 5, 6 months|Change in quality of life (AQoL-8D), Assessment of Quality of Life-8D (AQoL-8D). Increase in score dictates increase in quality of life (improvement). Scale of 0-5 on each question., weeks 0, 3, 6, follow-up 1, 2, 3, 4, 5, 6 months|Change in resilience (RS-14), Resilience Scale-14 (RS-14). Increase in score dictates increase in resilience (improvement). Scale of 0-7 on each question, weeks 0, 3, 6, follow-up 1, 2, 3, 4, 5, 6 months|Change in social anxiety severity (LSAS), Liebowitz Social Anxiety Scale (LSAS). Increase in score dictates increase in anxiety severity. Scale of 0-3 on each question., weeks 0, 3, 6, follow-up 1, 2, 3, 4, 5, 6 months|Change in ADHD severity (ASRS), Adult ADHD Self-Report Scale (ASRS). Increase in score dictates increase in ADHD symptom severity. Scale of 0-5 on each question., weeks 0, 3, 6, follow-up 1, 2, 3, 4, 5, 6 months",1,2.08333333333333
"42","The agreement between the change in the PACC5 composite between baseline and +12 months and the corresponding regression model, trained on baseline speech data, predicting in all four Arms, as measured by the coefficient of individual agreement (CIA)., 12 months",1,2.08333333333333
"43","The agreement between the change in the PACC5 composite between baseline and +12 months and the corresponding regression model, trained on baseline speech data, predicting in all four Arms, as measured by the coefficient of individual agreement (CIA)., Baseline speech data is speech data collected during the first 14 days of the study for each participant., 1 year",1,2.08333333333333
"44","Patient Activation Measure (PAM), Measure of patient activation for self-management. Scale from 0 to 100, higher scores mean a higher level of patient activation for self-management (=better outcome)., 6 weeks follow-up",1,2.08333333333333
"45","Number of overall participants with 30-day post-discharge hospital readmission, This is the first primary endpoint of this fallback design study. It measures the number of participants with a hospital readmission in the 30 days post-hospital discharge in the overall study population., 30 days post-hospital discharge|Number of moderate-high risk participants with 30-day post-discharge hospital readmission, This is the second primary endpoint of this fallback design study. It measures the number of moderate-high risk participants, those having a RecuR Score of 2 or 3, with a hospital readmission in the 30 days post-hospital discharge., 30 days post-hospital discharge",1,2.08333333333333
